NUTS level,NUTS code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
NUTS2,UKF1,Derbyshire and Nottinghamshire,18511,19103,20120,21004,21945,22800,23760,24793,25641,26693,28340,28963,29653,29729,30392,31680,32927,34124,35981,36328,37412,38965
NUTS3,UKF11,Derby,2147,2175,2278,2292,2392,2505,2571,2687,2714,2905,3006,3008,3189,3144,3174,3378,3499,3681,3834,3863,3960,4106
NUTS3,UKF12,East Derbyshire,2301,2378,2547,2660,2868,2965,3027,3140,3258,3435,3642,3644,3708,3732,3830,3982,4077,4194,4466,4425,4558,4773
NUTS3,UKF13,South and West Derbyshire,4398,4556,4837,5123,5329,5557,5976,6276,6573,6844,7243,7430,7545,7606,7946,8237,8647,8870,9459,9598,9842,10317
NUTS3,UKF14,Nottingham,2315,2375,2464,2546,2570,2649,2714,2725,2832,2912,3066,3152,3199,3255,3319,3455,3670,3806,4017,4151,4278,4350
NUTS3,UKF15,North Nottinghamshire,3788,3947,4151,4432,4612,4817,4998,5312,5478,5628,6064,6245,6426,6429,6503,6714,6897,7207,7644,7670,7907,8347
NUTS3,UKF16,South Nottinghamshire,3563,3672,3843,3951,4173,4308,4474,4652,4786,4969,5319,5483,5586,5563,5622,5914,6136,6365,6562,6621,6867,7073
NUTS2,UKF2,"Leicestershire, Rutland and Northamptonshire",15876,16084,16850,17892,18537,19135,20011,20887,21828,22814,24477,24819,25308,25667,26661,27823,28735,29856,31584,31941,33405,34896
NUTS3,UKF21,Leicester,2428,2373,2470,2606,2672,2776,2866,2987,3062,3176,3377,3377,3520,3658,3734,3908,4019,4165,4369,4507,4641,4713
NUTS3,UKF22,Leicestershire CC and Rutland,6978,7089,7445,7828,8102,8413,8854,9256,9615,9942,10547,10700,10968,11113,11436,11849,12178,12622,13285,13296,13916,14576
NUTS3,UKF24,West Northamptonshire,3671,3756,3934,4232,4410,4510,4671,4846,5114,5417,5898,5955,5975,6033,6459,6785,7021,7316,7803,7942,8345,8756
NUTS3,UKF25,North Northamptonshire,2799,2865,3001,3226,3353,3435,3621,3798,4038,4279,4655,4788,4845,4863,5032,5281,5517,5752,6128,6196,6503,6851
NUTS2,UKF3,Lincolnshire,6248,6447,6735,7090,7398,7668,8088,8493,8951,9230,9896,10231,10518,10773,11123,11518,11816,12267,12711,12819,13348,13942
NUTS3,UKF30,Lincolnshire,6248,6447,6735,7090,7398,7668,8088,8493,8951,9230,9896,10231,10518,10773,11123,11518,11816,12267,12711,12819,13348,13942
